"SAINC51 Disposable Personal Income Summary: Disposable Personal Income, Population, and Per Capita Disposable Personal Income"
"(Millions of dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2019"
"00000","United States *","51","Disposable personal income (millions of dollars)",16342277.0
"00000","United States *","52","Population (persons) 1/",328239523
"00000","United States *","53","Per capita disposable personal income (dollars) 2/",49788
"01000","Alabama","51","Disposable personal income (millions of dollars)",196103.7
"01000","Alabama","52","Population (persons) 1/",4903185
"01000","Alabama","53","Per capita disposable personal income (dollars) 2/",39995
"02000","Alaska *","51","Disposable personal income (millions of dollars)",42383.1
"02000","Alaska *","52","Population (persons) 1/",731545
"02000","Alaska *","53","Per capita disposable personal income (dollars) 2/",57936
"04000","Arizona","51","Disposable personal income (millions of dollars)",300903.8
"04000","Arizona","52","Population (persons) 1/",7278717
"04000","Arizona","53","Per capita disposable personal income (dollars) 2/",41340
"05000","Arkansas","51","Disposable personal income (millions of dollars)",121680.1
"05000","Arkansas","52","Population (persons) 1/",3017804
"05000","Arkansas","53","Per capita disposable personal income (dollars) 2/",40321
"06000","California","51","Disposable personal income (millions of dollars)",2267563.9
"06000","California","52","Population (persons) 1/",39512223
"06000","California","53","Per capita disposable personal income (dollars) 2/",57389
"08000","Colorado","51","Disposable personal income (millions of dollars)",309254.8
"08000","Colorado","52","Population (persons) 1/",5758736
"08000","Colorado","53","Per capita disposable personal income (dollars) 2/",53702
"09000","Connecticut","51","Disposable personal income (millions of dollars)",235022.8
"09000","Connecticut","52","Population (persons) 1/",3565287
"09000","Connecticut","53","Per capita disposable personal income (dollars) 2/",65920
"10000","Delaware","51","Disposable personal income (millions of dollars)",46859.0
"10000","Delaware","52","Population (persons) 1/",973764
"10000","Delaware","53","Per capita disposable personal income (dollars) 2/",48121
"11000","District of Columbia","51","Disposable personal income (millions of dollars)",50341.3
"11000","District of Columbia","52","Population (persons) 1/",705749
"11000","District of Columbia","53","Per capita disposable personal income (dollars) 2/",71330
"12000","Florida","51","Disposable personal income (millions of dollars)",995924.0
"12000","Florida","52","Population (persons) 1/",21477737
