"","State","Trump","Biden","ratio"
"101","Alabama",1441170,849624,1.69624445637129
"102","Alaska",189484,153129,1.23741420632277
"103","Arizona",1661686,1672143,0.993746348248924
"104","Arkansas",760613,423916,1.79425405033073
"105","California",5977556,11077345,0.539619917949653
"106","Colorado",1364471,1804196,0.756276479938987
"107","Connecticut",715291,1080680,0.66188973609209
"108","Delaware",200603,296268,0.677099788029757
"109","District of Columbia",18586,317323,0.0585712349876939
"110","Florida",5668731,5297045,1.07016855624221
"111","Georgia",2461837,2474507,0.994879788175988
"112","Hawaii",196864,366130,0.537688799060443
"113","Idaho",554118,287021,1.93058347647036
"114","Illinois",2814790,4241849,0.663576190477313
"115","Indiana",1729446,1241774,1.3927220251028
"116","Iowa",897467,758881,1.18261888227535
"117","Kansas",752903,551144,1.36607311337872
"118","Kentucky",1326646,772474,1.71739890274624
"119","Louisiana",1255776,856034,1.46696976989232
"120","Maine",360446,431277,0.835764485469895
"121","Maryland",976414,1985023,0.49189052217531
"122","Massachusetts",1167202,2382202,0.489967685360016
"123","Michigan",2649852,2804040,0.945012196687636
"124","Minnesota",1484065,1717077,0.864297291268825
"125","Mississippi",756731,539494,1.40266805562249
"126","Missouri",1717912,1253561,1.37042553174516
"127","Montana",343602,244786,1.40368321717745
"128","Nebraska",556846,374583,1.48657573888831
"129","Nevada",669890,703486,0.952243541449297
"130","New Hampshire",365654,424921,0.860522308852704
"131","New Jersey",1882454,2607331,0.721985049078924
"132","New Mexico",401894,501614,0.801201720845112
"133","New York",2987266,4076327,0.732832768323052
"134","North Carolina",2758775,2684302,1.02774389766874
"135","North Dakota",235595,114902,2.05039947085342
"136","Ohio",3153336,2678501,1.17727639452067
"137","Oklahoma",1020280,503890,2.02480700152811
"138","Oregon",966895,1346349,0.718160744353804
"139","Pennsylvania",3378263,3459923,0.976398318690907
"140","Rhode Island",199837,306210,0.652614219000033
"141","South Carolina",1385103,1091541,1.26894271493238
"142","South Dakota",261043,150471,1.73483927135461
"143","Tennessee",1849820,1139376,1.623537796127
"144","Texas",5891792,5261061,1.11988665404184
"145","Utah",865140,560282,1.54411528480301
"146","Vermont",112704,242820,0.464146281195948
"147","Virginia",1962430,2413568,0.813082540040305
"148","Washington",1584588,2369437,0.668761397749761
"149","West Virginia",545382,235984,2.31109736253305
"150","Wisconsin",1610151,1630716,0.987388975149566
"151","Wyoming",193559,73491,2.63377828577649
