"SQGDP1 Gross Domestic Product (GDP) summary, quarterly by state"
"Real Gross Domestic Product (GDP) (Millions of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2"
"00000","United States",18950347.0,19020599.0,19141744.0,19253959.0,19010848.0,17302511.0
"01000","Alabama",199819.5,200006.6,201415.8,202075.5,200425.9,183585.7
"02000","Alaska",53046.5,53031.1,53503.0,53440.2,52615.9,47460.3
"04000","Arizona",318965.8,321335.6,325081.4,329007.5,326367.3,303451.0
"05000","Arkansas",116707.4,117149.8,117685.9,118245.3,117049.6,107857.2
"06000","California",2758794.6,2792062.0,2802897.8,2848267.1,2817221.7,2562916.9
"08000","Colorado",350595.9,354001.9,359155.5,361367.3,360166.6,331687.0
"09000","Connecticut",251391.6,250666.7,251046.5,252214.6,248334.4,226222.0
"10000","Delaware",64246.0,64299.0,64229.0,64503.0,62574.3,58822.5
"11000","District of Columbia",123090.7,123578.5,124107.3,124940.6,124570.8,117650.7
"12000","Florida",955902.7,958261.2,965351.7,973507.9,962898.2,880375.1
"13000","Georgia",544005.8,545658.8,548905.6,551120.4,545463.2,502949.1
"15000","Hawaii",82329.9,82130.6,82441.8,82983.4,81068.5,70674.2
"16000","Idaho",73808.4,74402.5,75256.6,76280.9,75911.4,68821.0
"17000","Illinois",773419.4,769635.5,774889.3,774597.9,762096.5,697776.3
"18000","Indiana",334871.2,336202.2,338925.1,340545.7,335994.7,304019.2
"19000","Iowa",172944.6,173210.5,174246.9,173659.8,172778.4,159023.1
"20000","Kansas",159201.5,159771.4,160148.9,161115.6,159673.1,145906.7
"21000","Kentucky",189572.5,190026.0,191287.3,192360.0,189907.0,170843.7
"22000","Louisiana",238611.5,238443.3,240978.6,241835.4,234288.9,213207.6
"23000","Maine",58383.3,58325.8,58987.8,59476.6,58487.6,52632.3
"24000","Maryland",371303.2,372960.5,374664.0,377229.3,373780.0,344685.5
"25000","Massachusetts",517131.2,518750.6,521749.5,522215.3,516459.9,469669.0
"26000","Michigan",469147.6,469482.7,473470.1,474492.0,464779.9,413032.1
"27000","Minnesota",338981.1,339517.4,341818.2,343849.0,337866.2,307558.5
"28000","Mississippi",101956.7,102082.4,102924.3,103662.2,102683.4,92942.6
"29000","Missouri",287010.0,286177.1,288072.0,289378.1,285612.0,259263.5
"30000","Montana",47310.4,47518.4,48211.2,48625.3,48025.2,43805.0
"31000","Nebraska",115303.5,116603.3,118246.0,119428.0,118385.2,107878.8
"32000","Nevada",152088.2,152758.8,154518.2,155549.2,153612.4,133952.7
"33000","New Hampshire",77656.1,77102.0,77153.8,77049.4,76630.5,68288.4
"34000","New Jersey",553977.1,554616.1,558114.0,560216.6,555552.2,497613.7
"35000","New Mexico",96822.0,98204.1,99808.2,100228.6,99030.8,91126.5
"36000","New York",1483711.0,1492559.1,1490835.2,1495608.7,1472028.6,1315024.0
"37000","North Carolina",506881.6,509507.3,513146.8,516623.8,512065.9,467579.4
"38000","North Dakota",53836.8,54045.7,53935.9,53902.4,53687.7,49524.9
"39000","Ohio",612953.0,612732.4,616955.4,619256.7,610345.8,552235.0
"40000","Oklahoma",198134.5,197739.2,198518.9,197208.9,193501.4,176264.4
"41000","Oregon",223456.1,223805.2,225674.6,228411.3,226119.9,205399.2
"42000","Pennsylvania",721034.6,724005.3,728568.4,731055.1,720203.8,649251.3
"44000","Rhode Island",53918.3,53697.5,53375.8,53680.3,52967.7,48022.2
"45000","South Carolina",213915.6,213139.2,215607.3,217072.7,212453.7,192505.6
"46000","South Dakota",47022.2,47296.0,47815.7,48105.0,47812.8,43923.2
"47000","Tennessee",326298.0,327761.5,329814.0,329751.7,326489.8,286849.2
"48000","Texas",1752426.1,1753456.1,1774150.7,1777395.8,1749000.9,1605492.3
"49000","Utah",167404.4,166872.4,169604.3,171289.9,169580.4,159178.3
"50000","Vermont",29893.7,29679.9,29791.1,29860.0,29416.7,26079.0
"51000","Virginia",484851.8,485923.1,491333.4,494565.5,488269.3,451258.2
"53000","Washington",541236.1,544995.3,552265.1,556250.1,552600.5,513389.8
"54000","West Virginia",72589.8,72543.8,72569.5,71658.7,70429.2,64508.8
"55000","Wisconsin",306995.8,307575.4,307709.2,309898.3,302876.0,274434.6
"56000","Wyoming",39121.4,38981.1,39386.4,39367.1,38287.1,34706.1
"91000","New England",988345.1,988200.3,992084.5,994479.9,982275.4,890906.1
"92000","Mideast",3318078.2,3332819.5,3341010.4,3354014.1,3308994.4,2982969.5
"93000","Great Lakes",2497403.2,2495572.4,2511861.1,2518650.7,2475934.4,2241411.0
"94000","Plains",1174465.5,1176740.9,1184436.7,1189598.7,1175932.7,1073113.9
"95000","Southeast",3953369.4,3962770.5,3993252.2,4014815.2,3965080.4,3616853.0
"96000","Southwest",2367545.4,2372103.4,2398981.2,2405613.5,2369910.0,2178657.0
"97000","Rocky Mountain",679027.7,682543.6,692414.6,697780.4,692861.9,639178.3
